sample_id,residual_norm,CAI_1,CAI_2,Gibbs_Anion,Gibbs_Cation,Simpson_Ratio,Freshening_Ratio,Simpson_Class,BEX,Redox_State,Pollution_no3_cl_ratio,Pollution_k_na_ratio,Pollution_no3_meq,Pollution_cl_meq,Salinity_revelle_index,Salinity_na_cl_ratio,Water_Type
0,804.8652065451629,0.0,0.0,0.0,0.0,0.0,0.0,Good quality,0.0,Suboxic/Mixed,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
1,871.7871955725249,0.0,0.0,0.0,0.0,0.0,0.0,Good quality,0.0,Suboxic/Mixed,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
2,753.1397640407755,0.0,0.0,0.0,0.0,0.0,0.0,Good quality,0.0,Suboxic/Mixed,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
3,771.4727269545645,0.0,0.0,0.0,0.0,0.0,0.0,Good quality,0.0,Suboxic/Mixed,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
4,2240.5785321415137,0.0,0.0,0.0,0.0,0.0,0.0,Good quality,0.0,Suboxic/Mixed,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
5,894.3951264774021,0.0,0.0,0.0,0.0,0.0,0.0,Good quality,0.0,Suboxic/Mixed,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
6,769.4253076504925,0.0,0.0,0.0,0.0,0.0,0.0,Good quality,0.0,Suboxic/Mixed,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
7,769.5871866391598,0.0,0.0,0.0,0.0,0.0,0.0,Good quality,0.0,Suboxic/Mixed,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
8,808.4941277057311,0.0,0.0,0.0,0.0,0.0,0.0,Good quality,0.0,Suboxic/Mixed,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
9,10655.093357471014,0.0,0.0,0.0,0.0,0.0,0.0,Good quality,0.0,Suboxic/Mixed,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
10,834.9482071537584,0.0,0.0,0.0,0.0,0.0,0.0,Good quality,0.0,Suboxic/Mixed,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
11,732.9224051880889,0.0,0.0,0.0,0.0,0.0,0.0,Good quality,0.0,Suboxic/Mixed,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
12,851.2619664104526,0.0,0.0,0.0,0.0,0.0,0.0,Good quality,0.0,Suboxic/Mixed,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
13,742.0430096917439,0.0,0.0,0.0,0.0,0.0,0.0,Good quality,0.0,Suboxic/Mixed,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
14,429.08152002759175,0.0,0.0,0.0,0.0,0.0,0.0,Good quality,0.0,Suboxic/Mixed,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
15,884.9588215122021,0.0,0.0,0.0,0.0,0.0,0.0,Good quality,0.0,Suboxic/Mixed,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
16,687.9504602482705,0.0,0.0,0.0,0.0,0.0,0.0,Good quality,0.0,Suboxic/Mixed,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
17,628.5591743708816,0.0,0.0,0.0,0.0,0.0,0.0,Good quality,0.0,Suboxic/Mixed,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
18,1066.3254387051297,0.0,0.0,0.0,0.0,0.0,0.0,Good quality,0.0,Suboxic/Mixed,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
19,387.5984149837084,0.0,0.0,0.0,0.0,0.0,0.0,Good quality,0.0,Suboxic/Mixed,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
20,91.53731493216655,0.0,0.0,0.0,0.0,0.0,0.0,Good quality,0.0,Suboxic/Mixed,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
21,67.07337863137316,0.0,0.0,0.0,0.0,0.0,0.0,Good quality,0.0,Suboxic/Mixed,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
22,421.68247144448117,0.0,0.0,0.0,0.0,0.0,0.0,Good quality,0.0,Suboxic/Mixed,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
23,657.0936269941026,0.0,0.0,0.0,0.0,0.0,0.0,Good quality,0.0,Suboxic/Mixed,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
24,969.693581455433,0.0,0.0,0.0,0.0,0.0,0.0,Good quality,0.0,Suboxic/Mixed,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
25,800.6247614152876,0.0,0.0,0.0,0.0,0.0,0.0,Good quality,0.0,Suboxic/Mixed,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
26,845.1835018164629,0.0,0.0,0.0,0.0,0.0,0.0,Good quality,0.0,Suboxic/Mixed,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
27,805.6818596931535,0.0,0.0,0.0,0.0,0.0,0.0,Good quality,0.0,Suboxic/Mixed,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
28,450.8703670711824,0.0,0.0,0.0,0.0,0.0,0.0,Good quality,0.0,Suboxic/Mixed,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
29,704.6989577282262,0.0,0.0,0.0,0.0,0.0,0.0,Good quality,0.0,Suboxic/Mixed,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
30,2989.9182608937504,0.0,0.0,0.0,0.0,0.0,0.0,Good quality,0.0,Suboxic/Mixed,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
31,718.1459454331233,0.0,0.0,0.0,0.0,0.0,0.0,Good quality,0.0,Suboxic/Mixed,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
32,756.6461359962908,0.0,0.0,0.0,0.0,0.0,0.0,Good quality,0.0,Suboxic/Mixed,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
33,828.219000355013,0.0,0.0,0.0,0.0,0.0,0.0,Good quality,0.0,Suboxic/Mixed,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
