ion,NSR,pi_G,pi_A,E_T,E_P,classification
pH,0.13812325645322876,0.12136052096865928,0.8786394790313408,0.00041633425263405086,0.0030142233068672555,perturbation
EC,182.85036261632615,0.9945607940205159,0.0054392059794841074,2.1719935764301725,0.011878530220925061,baseline
Na,50.075798802902725,0.9804212560132031,0.01957874398679693,0.4251634766938875,0.00849039819533867,baseline
K,0.7301084677545925,0.42200155480914947,0.5779984451908505,0.002604092379325739,0.003566719907144252,mixed
Mg,0.06629684350670789,0.06217483579588812,0.9378251642041119,0.0004699872020172712,0.007089135327235206,perturbation
Ca,273.1136790589034,0.996351878562297,0.003648121437702989,2.451897262461688,0.008977570232655798,baseline
Cl,550.3380387165764,0.998186230732521,0.001813769267479004,5.8435396007803915,0.010618091308887346,baseline
SO4,0.015299152410403125,0.015068578857115118,0.9849314211428849,4.002844564280917e-05,0.002616389656048874,perturbation
HCO3,0.5381320886507774,0.3498607733901322,0.6501392266098678,0.002471075222970832,0.004591949302546118,mixed
NO3,0.23916955915703203,0.19300792726088223,0.8069920727391178,0.0013326219691944929,0.005571871478855613,perturbation
F,1.4495697526499323,0.5917650446236657,0.40823495537633425,0.01991707470511153,0.01373999052045927,mixed
